Local Authority Code,Period,Measure Type,Value
E07000111,2001,population,109242.0
E07000112,2001,population,96345.0
E07000113,2001,population,123123.0
E07000114,2001,population,126750.0
E07000115,2001,population,107771.0
E07000116,2001,population,104049.0
E07000117,2001,population,89521.0
E07000118,2001,population,100559.0
E07000119,2001,population,73340.0
E07000120,2001,population,81495.0
E07000121,2001,population,134049.0
E07000122,2001,population,89277.0
E07000123,2001,population,130372.0
E07000124,2001,population,54053.0
E07000125,2001,population,65647.0
E07000126,2001,population,103949.0
E07000127,2001,population,108480.0
E07000128,2001,population,105800.0
E07000129,2001,population,90361.0
E07000130,2001,population,153554.0
E07000131,2001,population,76818.0
E07000132,2001,population,100202.0
E07000133,2001,population,47875.0
E07000134,2001,population,85678.0
E07000135,2001,population,55791.0
E07000136,2001,population,55802.0
E07000137,2001,population,130654.0
E07000138,2001,population,85584.0
E07000139,2001,population,94378.0
E07000140,2001,population,76714.0
E07000141,2001,population,124877.0
E07000142,2001,population,79631.0
E07000143,2001,population,121585.0
E07000144,2001,population,118814.0
E07000145,2001,population,90945.0
E07000146,2001,population,135565.0
E07000147,2001,population,98495.0
E07000148,2001,population,122366.0
E07000149,2001,population,110848.0
E07000150,2001,population,53407.0
E07000151,2001,population,72045.0
E07000152,2001,population,76835.0
E07000153,2001,population,82304.0
E07000154,2001,population,194351.0
E07000155,2001,population,79497.0
E07000156,2001,population,72547.0
E07000163,2001,population,53706.0
E07000164,2001,population,84168.0
E07000165,2001,population,151467.0
E07000166,2001,population,47067.0
E07000167,2001,population,50910.0
E07000168,2001,population,106221.0
E07000169,2001,population,76555.0
E07000170,2001,population,111477.0
E07000171,2001,population,107843.0
E07000172,2001,population,107481.0
E07000173,2001,population,111812.0
E07000174,2001,population,98065.0
E07000175,2001,population,106351.0
E07000176,2001,population,105780.0
E07000177,2001,population,131988.0
E07000178,2001,population,135509.0
E07000179,2001,population,128307.0
E07000180,2001,population,115772.0
E07000181,2001,population,95701.0
E07000187,2001,population,103964.0
E07000188,2001,population,106030.0
E07000189,2001,population,151059.0
E07000192,2001,population,92165.0
E07000193,2001,population,103938.0
E07000194,2001,population,93229.0
E07000195,2001,population,122015.0
E07000196,2001,population,105942.0
E07000197,2001,population,120712.0
E07000198,2001,population,94555.0
E07000199,2001,population,74596.0
E07000200,2001,population,83538.0
E07000202,2001,population,117156.0
E07000203,2001,population,87015.0
E07000207,2001,population,122709.0
E07000208,2001,population,67077.0
E07000209,2001,population,129774.0
E07000210,2001,population,80283.0
E07000211,2001,population,126661.0
E07000212,2001,population,78053.0
E07000213,2001,population,90404.0
E07000214,2001,population,80309.0
E07000215,2001,population,79332.0
E07000216,2001,population,115668.0
E07000217,2001,population,89893.0
E07000218,2001,population,61788.0
E07000219,2001,population,119239.0
E07000220,2001,population,87520.0
E07000221,2001,population,111551.0
E07000222,2001,population,126095.0
E07000223,2001,population,59714.0
E07000224,2001,population,140998.0
E07000225,2001,population,106494.0
E07000226,2001,population,100440.0
E07000227,2001,population,122272.0
E07000228,2001,population,127397.0
E07000229,2001,population,97661.0
E07000234,2001,population,87904.0
E07000235,2001,population,72171.0
E07000236,2001,population,78779.0
E07000237,2001,population,93369.0
E07000238,2001,population,113081.0
E07000239,2001,population,96929.0
E07000240,2001,population,129168.0
E07000241,2001,population,97550.0
E07000242,2001,population,129145.0
E07000243,2001,population,79794.0
E07000244,2001,population,227736.0
E07000245,2001,population,154468.0
E07000246,2001,population,137654.0
E08000001,2001,population,261302.0
E08000002,2001,population,180655.0
E08000003,2001,population,422915.0
E08000004,2001,population,218537.0
E08000005,2001,population,206440.0
E08000006,2001,population,216978.0
E08000007,2001,population,284557.0
E08000008,2001,population,213087.0
E08000009,2001,population,210172.0
E08000010,2001,population,301453.0
E08000011,2001,population,151238.0
E08000012,2001,population,441858.0
E08000013,2001,population,176826.0
E08000014,2001,population,282884.0
E08000015,2001,population,315004.0
E08000016,2001,population,218124.0
E08000017,2001,population,286900.0
E08000018,2001,population,248349.0
E08000019,2001,population,513102.0
E08000021,2001,population,266241.0
E08000022,2001,population,192003.0
E08000023,2001,population,152793.0
E08000024,2001,population,284601.0
E08000025,2001,population,984642.0
E08000026,2001,population,302804.0
E08000027,2001,population,305052.0
E08000028,2001,population,284594.0
E08000029,2001,population,199574.0
E08000030,2001,population,253333.0
E08000031,2001,population,238016.0
E08000032,2001,population,470753.0
E08000033,2001,population,192379.0
E08000034,2001,population,388980.0
E08000035,2001,population,715609.0
E08000036,2001,population,315380.0
E08000037,2001,population,191178.0
E09000001,2001,population,7359.0
E09000002,2001,population,165654.0
E09000003,2001,population,319481.0
E09000004,2001,population,218757.0
E09000005,2001,population,269620.0
E09000006,2001,population,296218.0
E09000007,2001,population,202567.0
E09000008,2001,population,335112.0
E09000009,2001,population,307276.0
E09000010,2001,population,277266.0
E09000011,2001,population,217460.0
E09000012,2001,population,207246.0
E09000013,2001,population,169374.0
E09000014,2001,population,221251.0
E09000015,2001,population,210044.0
E09000016,2001,population,224717.0
E09000017,2001,population,245616.0
E09000018,2001,population,215976.0
E09000019,2001,population,179387.0
E09000020,2001,population,162199.0
E09000021,2001,population,149045.0
E09000022,2001,population,273372.0
E09000023,2001,population,254336.0
E09000024,2001,population,191106.0
E09000025,2001,population,249411.0
E09000026,2001,population,241893.0
E09000027,2001,population,174311.0
E09000028,2001,population,256712.0
E09000029,2001,population,181461.0
E09000030,2001,population,201090.0
E09000031,2001,population,222015.0
E09000032,2001,population,271742.0
E09000033,2001,population,203329.0
N09000001,2001,population,128760.0
N09000002,2001,population,176014.0
N09000003,2001,population,328695.0
N09000004,2001,population,131374.0
N09000005,2001,population,143810.0
N09000006,2001,population,105751.0
N09000007,2001,population,124585.0
N09000008,2001,population,127452.0
N09000009,2001,population,119112.0
N09000010,2001,population,153726.0
N09000011,2001,population,149559.0
S12000005,2001,population,48070.0
S12000006,2001,population,147780.0
S12000008,2001,population,120310.0
S12000010,2001,population,90180.0
S12000011,2001,population,89410.0
S12000013,2001,population,26450.0
S12000014,2001,population,145270.0
S12000017,2001,population,208920.0
S12000018,2001,population,84150.0
S12000019,2001,population,80950.0
S12000020,2001,population,87000.0
S12000021,2001,population,135820.0
S12000023,2001,population,19220.0
S12000026,2001,population,106950.0
S12000027,2001,population,21960.0
S12000028,2001,population,112160.0
S12000029,2001,population,302340.0
S12000030,2001,population,86200.0
S12000033,2001,population,211910.0
S12000034,2001,population,226940.0
S12000035,2001,population,91300.0
S12000036,2001,population,449020.0
S12000038,2001,population,172850.0
S12000039,2001,population,93320.0
S12000040,2001,population,159030.0
S12000041,2001,population,108370.0
S12000042,2001,population,145460.0
S12000045,2001,population,108250.0
S12000047,2001,population,349770.0
S12000048,2001,population,134950.0
S12000049,2001,population,578710.0
S12000050,2001,population,321180.0
W06000001,2001,population,67806.0
W06000002,2001,population,116844.0
W06000003,2001,population,109674.0
W06000004,2001,population,93070.0
W06000005,2001,population,148629.0
W06000006,2001,population,128540.0
W06000008,2001,population,75417.0
W06000009,2001,population,113058.0
W06000010,2001,population,173652.0
W06000011,2001,population,223463.0
W06000012,2001,population,134380.0
W06000013,2001,population,128735.0
W06000014,2001,population,119277.0
W06000015,2001,population,310088.0
W06000016,2001,population,231910.0
W06000018,2001,population,169546.0
W06000019,2001,population,70000.0
W06000020,2001,population,90912.0
W06000021,2001,population,84984.0
W06000022,2001,population,137642.0
W06000023,2001,population,126398.0
W06000024,2001,population,56207.0
E06000001,2002,population,89993.0
E06000002,2002,population,140090.0
E06000003,2002,population,138520.0
E06000004,2002,population,184940.0
E06000005,2002,population,98474.0
E06000006,2002,population,118788.0
E06000007,2002,population,191615.0
E06000008,2002,population,139538.0
E06000009,2002,population,142164.0
E06000010,2002,population,249463.0
E06000011,2002,population,318633.0
E06000012,2002,population,158003.0
E06000013,2002,population,154240.0
E06000014,2002,population,182088.0
E06000015,2002,population,231979.0
E06000016,2002,population,285295.0
E06000017,2002,population,35295.0
E06000018,2002,population,271769.0
E06000019,2002,population,175258.0
E06000020,2002,population,159401.0
E06000021,2002,population,239955.0
E06000022,2002,population,169819.0
E06000023,2002,population,389735.0
E06000024,2002,population,189718.0
E06000025,2002,population,247755.0
E06000026,2002,population,242550.0
E06000027,2002,population,130521.0
E06000030,2002,population,182110.0
E06000031,2002,population,158794.0
E06000032,2002,population,185631.0
E06000033,2002,population,161159.0
E06000034,2002,population,144728.0
E06000035,2002,population,250262.0
E06000036,2002,population,109490.0
E06000037,2002,population,143913.0
E06000038,2002,population,143915.0
E06000039,2002,population,120927.0
E06000040,2002,population,133631.0
E06000041,2002,population,149445.0
E06000042,2002,population,215061.0
E06000043,2002,population,249743.0
E06000044,2002,population,188476.0
E06000045,2002,population,220459.0
E06000046,2002,population,133908.0
E06000047,2002,population,493538.0
E06000049,2002,population,353348.0
E06000050,2002,population,322657.0
E06000051,2002,population,284901.0
E06000052,2002,population,504644.0
